IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Kiribati,NA,53
Proportion of population using a hand-washing facility with soap and water (%),Kiribati,NA,55.68
Proportion of population using safely-managed drinking-water services (%),Kiribati,NA,14.41
Proportion of population using safely-managed sanitation services (%),Kiribati,NA,24.79
Proportion of population with primary reliance on clean fuels and technology (%),Kiribati,NA,14.8
Proportion of safely treated domestic wastewater flows (%),Kiribati,NA,33.23
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Kiribati,SEX_FMLE,53.1
Reported number of people requiring interventions against NTDs,Kiribati,NA,127250
Road traffic mortality rate (per 100 000 population),Kiribati,NA,6.2
Suicide mortality rate (per 100 000 population),Kiribati,NA,17.23
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Kiribati,SEX_BTSX,0.76
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Kiribati,NA,46.1
Tuberculosis incidence (per 100 000 population),Kiribati,NA,431
UHC: Service coverage index,Kiribati,NA,47.71
Under-five mortality rate (per 1000 live births),Kiribati,SEX_BTSX,56.44
Adolescent birth rate (per 1000 women),Kuwait,AGEGROUP_YEARS10-14,0
Adolescent birth rate (per 1000 women),Kuwait,AGEGROUP_YEARS15-19,2.07
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Kuwait,SEX_BTSX,45.17
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Kuwait,SEX_BTSX,40.5
Age-standardized prevalence of obesity among adults (18+ years) (%),Kuwait,SEX_BTSX,41.42
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Kuwait,SEX_BTSX,19.9
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Kuwait,NA,67.22
Average of 15 International Health Regulations core capacity scores,Kuwait,NA,94
Density of dentists (per 10 000 population) ,Kuwait,NA,6.62
Density of medical doctors (per 10 000 population) ,Kuwait,NA,22.93
Density of nursing and midwifery personnel (per 10 000 population) ,Kuwait,NA,45.87
Density of pharmacists (per 10 000 population) ,Kuwait,NA,4.82
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Kuwait,NA,96
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Kuwait,NA,9.92
Healthy life expectancy at birth (years),Kuwait,SEX_BTSX,67.78
Healthy life expectancy at birth (years),Kuwait,SEX_FMLE,68.35
Healthy life expectancy at birth (years),Kuwait,SEX_MLE,67.48
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Kuwait,NA,0.03
Life expectancy at birth (years),Kuwait,SEX_MLE,77.32
Life expectancy at birth (years),Kuwait,SEX_BTSX,78.95
Life expectancy at birth (years),Kuwait,SEX_FMLE,81.75
Maternal mortality ratio (per 100 000 live births),Kuwait,NA,7.17
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Kuwait,NA,94
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Kuwait,SEX_BTSX,0.8
Mortality rate due to homicide (per 100 000 population),Kuwait,NA,1.44
Mortality rate from unintentional poisoning (per 100 000 population),Kuwait,NA,0.34
Neonatal mortality rate (per 1000 live births),Kuwait,SEX_BTSX,4.76
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Kuwait,NA,0
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),Kuwait,NA,43.66
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Kuwait,NA,99
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Kuwait,SEX_FMLE,23.7
Prevalence of obesity among children and adolescents (5–19 years) (%),Kuwait,SEX_BTSX,21.23
Prevalence of overweight in children under 5 (%),Kuwait,NA,11.7
Prevalence of stunting in children under 5 (%),Kuwait,NA,6.9
Prevalence of wasting in children under 5 (%),Kuwait,NA,3
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Kuwait,NA,10.09
Proportion of births attended by skilled health personnel (%),Kuwait,NA,99.2
Proportion of population using safely-managed drinking-water services (%),Kuwait,NA,100
Proportion of population using safely-managed sanitation services (%),Kuwait,NA,100
Proportion of population with primary reliance on clean fuels and technology (%),Kuwait,NA,100
Proportion of safely treated domestic wastewater flows (%),Kuwait,NA,100
Reported number of people requiring interventions against NTDs,Kuwait,NA,14
Road traffic mortality rate (per 100 000 population),Kuwait,NA,9.2
Suicide mortality rate (per 100 000 population),Kuwait,NA,2
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Kuwait,SEX_BTSX,0
Tuberculosis incidence (per 100 000 population),Kuwait,NA,12
UHC: Service coverage index,Kuwait,NA,77.81
Under-five mortality rate (per 1000 live births),Kuwait,SEX_BTSX,8.61
Adolescent birth rate (per 1000 women),Kyrgyzstan,AGEGROUP_YEARS15-19,30.04
Adolescent birth rate (per 1000 women),Kyrgyzstan,AGEGROUP_YEARS10-14,0.01
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Kyrgyzstan,SEX_BTSX,124.85
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Kyrgyzstan,SEX_BTSX,40.9
Age-standardized prevalence of obesity among adults (18+ years) (%),Kyrgyzstan,SEX_BTSX,26.6
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Kyrgyzstan,SEX_BTSX,27.3
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Kyrgyzstan,NA,36.06
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Kyrgyzstan,NA,39.65
Average of 15 International Health Regulations core capacity scores,Kyrgyzstan,NA,48.47
Density of dentists (per 10 000 population) ,Kyrgyzstan,NA,1.8
Density of medical doctors (per 10 000 population) ,Kyrgyzstan,NA,21.45
Density of nursing and midwifery personnel (per 10 000 population) ,Kyrgyzstan,NA,44.23
Density of pharmacists (per 10 000 population) ,Kyrgyzstan,NA,0.32
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Kyrgyzstan,NA,90
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Kyrgyzstan,NA,8.56
Healthy life expectancy at birth (years),Kyrgyzstan,SEX_MLE,61.31
Healthy life expectancy at birth (years),Kyrgyzstan,SEX_BTSX,63.42
Healthy life expectancy at birth (years),Kyrgyzstan,SEX_FMLE,65.48
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Kyrgyzstan,NA,0.15
Life expectancy at birth (years),Kyrgyzstan,SEX_BTSX,72.19
Life expectancy at birth (years),Kyrgyzstan,SEX_FMLE,75.76
Life expectancy at birth (years),Kyrgyzstan,SEX_MLE,68.53
Malaria incidence (per 1000 population at risk),Kyrgyzstan,NA,0
Maternal mortality ratio (per 100 000 live births),Kyrgyzstan,NA,50.38
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Kyrgyzstan,NA,95
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Kyrgyzstan,SEX_BTSX,2.3
Mortality rate due to homicide (per 100 000 population),Kyrgyzstan,NA,4.54
Mortality rate from unintentional poisoning (per 100 000 population),Kyrgyzstan,NA,0.66
Neonatal mortality rate (per 1000 live births),Kyrgyzstan,SEX_BTSX,11.75
New HIV infections (per 1000 uninfected population),Kyrgyzstan,SEX_BTSX,0.11
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Kyrgyzstan,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Kyrgyzstan,NA,92
Population with household expenditures on health > 10% of total household expenditure or income (%),Kyrgyzstan,NA,4.91
Population with household expenditures on health > 25% of total household expenditure or income (%),Kyrgyzstan,NA,0.83
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Kyrgyzstan,SEX_FMLE,35.8
Prevalence of obesity among children and adolescents (5–19 years) (%),Kyrgyzstan,SEX_BTSX,2.18
Prevalence of overweight in children under 5 (%),Kyrgyzstan,NA,6.4
Prevalence of stunting in children under 5 (%),Kyrgyzstan,NA,10.3
Prevalence of wasting in children under 5 (%),Kyrgyzstan,NA,1
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Kyrgyzstan,NA,22.29
Proportion of births attended by skilled health personnel (%),Kyrgyzstan,NA,100
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Kyrgyzstan,NA,13
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Kyrgyzstan,NA,23
Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis (%),Kyrgyzstan,NA,0
Proportion of population using a hand-washing facility with soap and water (%),Kyrgyzstan,NA,99.85
Proportion of population using safely-managed drinking-water services (%),Kyrgyzstan,NA,76.49
Proportion of population using safely-managed sanitation services (%),Kyrgyzstan,NA,92.64
Proportion of population with primary reliance on clean fuels and technology (%),Kyrgyzstan,NA,77
Proportion of safely treated domestic wastewater flows (%),Kyrgyzstan,NA,19.01
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Kyrgyzstan,SEX_FMLE,64.6
Reported number of people requiring interventions against NTDs,Kyrgyzstan,NA,2169854
Road traffic mortality rate (per 100 000 population),Kyrgyzstan,NA,13.3
Suicide mortality rate (per 100 000 population),Kyrgyzstan,NA,6.47
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Kyrgyzstan,SEX_BTSX,4.95
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Kyrgyzstan,NA,6.64
Tuberculosis incidence (per 100 000 population),Kyrgyzstan,NA,130
UHC: Service coverage index,Kyrgyzstan,NA,68.54
Under-five mortality rate (per 1000 live births),Kyrgyzstan,SEX_BTSX,17.25
Adolescent birth rate (per 1000 women),Lao People's Democratic Republic,AGEGROUP_YEARS15-19,83.35
Adolescent birth rate (per 1000 women),Lao People's Democratic Republic,AGEGROUP_YEARS10-14,2.57
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Lao People's Democratic Republic,SEX_BTSX,195.31
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Lao People's Democratic Republic,SEX_BTSX,28.5
Age-standardized prevalence of obesity among adults (18+ years) (%),Lao People's Democratic Republic,SEX_BTSX,8.01
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Lao People's Democratic Republic,SEX_BTSX,27.2
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Lao People's Democratic Republic,NA,90.35
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Lao People's Democratic Republic,NA,24.19
Average of 15 International Health Regulations core capacity scores,Lao People's Democratic Republic,NA,55.33
Density of dentists (per 10 000 population) ,Lao People's Democratic Republic,NA,0.76
Density of medical doctors (per 10 000 population) ,Lao People's Democratic Republic,NA,3.27
Density of nursing and midwifery personnel (per 10 000 population) ,Lao People's Democratic Republic,NA,11.83
Density of pharmacists (per 10 000 population) ,Lao People's Democratic Republic,NA,2.27
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Lao People's Democratic Republic,NA,80
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Lao People's Democratic Republic,NA,4.41
Healthy life expectancy at birth (years),Lao People's Democratic Republic,SEX_BTSX,60.41
Healthy life expectancy at birth (years),Lao People's Democratic Republic,SEX_MLE,59.31
Healthy life expectancy at birth (years),Lao People's Democratic Republic,SEX_FMLE,61.58
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Lao People's Democratic Republic,NA,0.68
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Lao People's Democratic Republic,SEX_FMLE,25
Life expectancy at birth (years),Lao People's Democratic Republic,SEX_MLE,66.09
Life expectancy at birth (years),Lao People's Democratic Republic,SEX_FMLE,70.51
Life expectancy at birth (years),Lao People's Democratic Republic,SEX_BTSX,68.23
Malaria incidence (per 1000 population at risk),Lao People's Democratic Republic,NA,0.95
Maternal mortality ratio (per 100 000 live births),Lao People's Democratic Republic,NA,126.06
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Lao People's Democratic Republic,NA,55
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Lao People's Democratic Republic,SEX_BTSX,20.5
Mortality rate due to homicide (per 100 000 population),Lao People's Democratic Republic,NA,6.38
Mortality rate from unintentional poisoning (per 100 000 population),Lao People's Democratic Republic,NA,0.35
Neonatal mortality rate (per 1000 live births),Lao People's Democratic Republic,SEX_BTSX,20.28
New HIV infections (per 1000 uninfected population),Lao People's Democratic Republic,SEX_BTSX,0.14
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Lao People's Democratic Republic,NA,0
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),Lao People's Democratic Republic,NA,45.52
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),Lao People's Democratic Republic,NA,29.89
"Percentage of total antibiotic consumption being from the AWaRe ""Access"" antibiotics category  (%)",Lao People's Democratic Republic,NA,77.89
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Lao People's Democratic Republic,NA,78
Population with household expenditures on health > 10% of total household expenditure or income (%),Lao People's Democratic Republic,NA,6.75
Population with household expenditures on health > 25% of total household expenditure or income (%),Lao People's Democratic Republic,NA,3.01
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Lao People's Democratic Republic,SEX_FMLE,39.5
Prevalence of obesity among children and adolescents (5–19 years) (%),Lao People's Democratic Republic,SEX_BTSX,6.8
Prevalence of overweight in children under 5 (%),Lao People's Democratic Republic,NA,4
Prevalence of stunting in children under 5 (%),Lao People's Democratic Republic,NA,27.7
Prevalence of wasting in children under 5 (%),Lao People's Democratic Republic,NA,9
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Lao People's Democratic Republic,NA,27.07
Proportion of births attended by skilled health personnel (%),Lao People's Democratic Republic,NA,64.4
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Lao People's Democratic Republic,NA,8
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Lao People's Democratic Republic,NA,19
Proportion of population using safely-managed drinking-water services (%),Lao People's Democratic Republic,NA,17.87
Proportion of population using safely-managed sanitation services (%),Lao People's Democratic Republic,NA,61.13
Proportion of population with primary reliance on clean fuels and technology (%),Lao People's Democratic Republic,NA,10.2
Proportion of safely treated domestic wastewater flows (%),Lao People's Democratic Republic,NA,10.25
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Lao People's Democratic Republic,SEX_FMLE,72.3
Reported number of people requiring interventions against NTDs,Lao People's Democratic Republic,NA,2192655
Road traffic mortality rate (per 100 000 population),Lao People's Democratic Republic,NA,16.4
Suicide mortality rate (per 100 000 population),Lao People's Democratic Republic,NA,4.61
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Lao People's Democratic Republic,SEX_BTSX,11.52
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Lao People's Democratic Republic,NA,7.51
Tuberculosis incidence (per 100 000 population),Lao People's Democratic Republic,NA,138
UHC: Service coverage index,Lao People's Democratic Republic,NA,51.83
Under-five mortality rate (per 1000 live births),Lao People's Democratic Republic,SEX_BTSX,40.38
Adolescent birth rate (per 1000 women),Latvia,AGEGROUP_YEARS15-19,8.78
Adolescent birth rate (per 1000 women),Latvia,AGEGROUP_YEARS10-14,0.08
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Latvia,SEX_BTSX,40.1
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Latvia,SEX_BTSX,43.9
Age-standardized prevalence of obesity among adults (18+ years) (%),Latvia,SEX_BTSX,24.27
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Latvia,SEX_BTSX,33.9
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Latvia,NA,14.13
Average of 15 International Health Regulations core capacity scores,Latvia,NA,68.07
Contact coverage of treatment services for drug use disorders (%),Latvia,DRUG,2.1
Density of dentists (per 10 000 population) ,Latvia,NA,7.2
Density of medical doctors (per 10 000 population) ,Latvia,NA,33.77
Density of nursing and midwifery personnel (per 10 000 population) ,Latvia,NA,44.21
Density of pharmacists (per 10 000 population) ,Latvia,NA,8.83
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Latvia,NA,95
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Latvia,NA,14.19
Healthy life expectancy at birth (years),Latvia,SEX_FMLE,66.72
Healthy life expectancy at birth (years),Latvia,SEX_BTSX,63.76
Healthy life expectancy at birth (years),Latvia,SEX_MLE,60.78
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Latvia,NA,0.27
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Latvia,SEX_FMLE,62
Life expectancy at birth (years),Latvia,SEX_BTSX,73.2
Life expectancy at birth (years),Latvia,SEX_MLE,68.5
Life expectancy at birth (years),Latvia,SEX_FMLE,77.9
Maternal mortality ratio (per 100 000 live births),Latvia,NA,18.32
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Latvia,NA,86
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Latvia,SEX_BTSX,2.6
Mortality rate due to homicide (per 100 000 population),Latvia,NA,4.53
Mortality rate from unintentional poisoning (per 100 000 population),Latvia,NA,0.81
Neonatal mortality rate (per 1000 live births),Latvia,SEX_BTSX,1.63
New HIV infections (per 1000 uninfected population),Latvia,SEX_BTSX,0.19
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Latvia,NA,0
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),Latvia,NA,18.91
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),Latvia,NA,4.55
"Percentage of total antibiotic consumption being from the AWaRe ""Access"" antibiotics category  (%)",Latvia,NA,71.51
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Latvia,NA,87
Population with household expenditures on health > 10% of total household expenditure or income (%),Latvia,NA,21.41
Population with household expenditures on health > 25% of total household expenditure or income (%),Latvia,NA,5.7
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Latvia,SEX_FMLE,21.6
Prevalence of obesity among children and adolescents (5–19 years) (%),Latvia,SEX_BTSX,6.71
Prevalence of overweight in children under 5 (%),Latvia,NA,6.4
Prevalence of stunting in children under 5 (%),Latvia,NA,1.8
Prevalence of wasting in children under 5 (%),Latvia,NA,1.6
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Latvia,NA,21.11
Proportion of births attended by skilled health personnel (%),Latvia,NA,98.1
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Latvia,NA,6
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Latvia,NA,25
Proportion of population using safely-managed drinking-water services (%),Latvia,NA,97.11
Proportion of population with primary reliance on clean fuels and technology (%),Latvia,NA,100
Proportion of safely treated domestic wastewater flows (%),Latvia,NA,87.42
Reported number of people requiring interventions against NTDs,Latvia,NA,4
Road traffic mortality rate (per 100 000 population),Latvia,NA,9.8
Suicide mortality rate (per 100 000 population),Latvia,NA,15.39
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Latvia,SEX_BTSX,13.09
Tuberculosis incidence (per 100 000 population),Latvia,NA,19
UHC: Service coverage index,Latvia,NA,74.63
Under-five mortality rate (per 1000 live births),Latvia,SEX_BTSX,3.21
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Lebanon,SEX_BTSX,58.58
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Lebanon,SEX_BTSX,38.1
Age-standardized prevalence of obesity among adults (18+ years) (%),Lebanon,SEX_BTSX,29.78
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Lebanon,SEX_BTSX,34.3
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Lebanon,NA,64.49
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Lebanon,NA,24.36
Average of 15 International Health Regulations core capacity scores,Lebanon,NA,70.07
Density of dentists (per 10 000 population) ,Lebanon,NA,11.77
Density of medical doctors (per 10 000 population) ,Lebanon,NA,26.17
Density of nursing and midwifery personnel (per 10 000 population) ,Lebanon,NA,19.29
Density of pharmacists (per 10 000 population) ,Lebanon,NA,14.9
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Lebanon,NA,67
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Lebanon,NA,16.7
Healthy life expectancy at birth (years),Lebanon,SEX_MLE,62.15
Healthy life expectancy at birth (years),Lebanon,SEX_BTSX,63.22
Healthy life expectancy at birth (years),Lebanon,SEX_FMLE,64.4
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Lebanon,NA,0.07
Life expectancy at birth (years),Lebanon,SEX_BTSX,74.34
Life expectancy at birth (years),Lebanon,SEX_FMLE,77.5
Life expectancy at birth (years),Lebanon,SEX_MLE,71.25
Maternal mortality ratio (per 100 000 live births),Lebanon,NA,20.62
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Lebanon,NA,59
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Lebanon,SEX_BTSX,2.4
Mortality rate due to homicide (per 100 000 population),Lebanon,NA,5.28
Mortality rate from unintentional poisoning (per 100 000 population),Lebanon,NA,0.16
Neonatal mortality rate (per 1000 live births),Lebanon,SEX_BTSX,10.39
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Lebanon,NA,0
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),Lebanon,NA,50
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),Lebanon,NA,37.21
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Lebanon,NA,70
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Lebanon,SEX_FMLE,28.3
Prevalence of obesity among children and adolescents (5–19 years) (%),Lebanon,SEX_BTSX,18.58
Prevalence of overweight in children under 5 (%),Lebanon,NA,8.3
Prevalence of stunting in children under 5 (%),Lebanon,NA,7.4
Prevalence of wasting in children under 5 (%),Lebanon,NA,1.4
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Lebanon,NA,12.09
Proportion of population using safely-managed drinking-water services (%),Lebanon,NA,47.7
Proportion of population using safely-managed sanitation services (%),Lebanon,NA,25.67
Reported number of people requiring interventions against NTDs,Lebanon,NA,22
Road traffic mortality rate (per 100 000 population),Lebanon,NA,9.7
Suicide mortality rate (per 100 000 population),Lebanon,NA,0.7
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Lebanon,SEX_BTSX,1.48
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Lebanon,NA,22.94
Tuberculosis incidence (per 100 000 population),Lebanon,NA,11
UHC: Service coverage index,Lebanon,NA,72.62
Under-five mortality rate (per 1000 live births),Lebanon,SEX_BTSX,17.35
Adolescent birth rate (per 1000 women),Lesotho,AGEGROUP_YEARS10-14,0.48
Adolescent birth rate (per 1000 women),Lesotho,AGEGROUP_YEARS15-19,49.08
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Lesotho,SEX_BTSX,288.29
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Lesotho,SEX_BTSX,40.1
Age-standardized prevalence of obesity among adults (18+ years) (%),Lesotho,SEX_BTSX,21
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Lesotho,SEX_BTSX,24.3
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Lesotho,NA,12.83
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Lesotho,NA,18.55
Average of 15 International Health Regulations core capacity scores,Lesotho,NA,40
Density of dentists (per 10 000 population) ,Lesotho,NA,0.13
Density of medical doctors (per 10 000 population) ,Lesotho,NA,1.5
Density of nursing and midwifery personnel (per 10 000 population) ,Lesotho,NA,31.24
Density of pharmacists (per 10 000 population) ,Lesotho,NA,0.87
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Lesotho,NA,87
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Lesotho,NA,7.95
Healthy life expectancy at birth (years),Lesotho,SEX_FMLE,46.4
Healthy life expectancy at birth (years),Lesotho,SEX_BTSX,44.63
Healthy life expectancy at birth (years),Lesotho,SEX_MLE,43.1
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Lesotho,NA,1.22
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Lesotho,SEX_FMLE,58
Life expectancy at birth (years),Lesotho,SEX_FMLE,54.6
Life expectancy at birth (years),Lesotho,SEX_MLE,48.73
Life expectancy at birth (years),Lesotho,SEX_BTSX,51.48
Maternal mortality ratio (per 100 000 live births),Lesotho,NA,566.21
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Lesotho,NA,75
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Lesotho,SEX_BTSX,108.1
Mortality rate due to homicide (per 100 000 population),Lesotho,NA,39.77
Mortality rate from unintentional poisoning (per 100 000 population),Lesotho,NA,3.6
Neonatal mortality rate (per 1000 live births),Lesotho,SEX_BTSX,35.31
New HIV infections (per 1000 uninfected population),Lesotho,SEX_BTSX,3.03
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Lesotho,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Lesotho,NA,87
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Lesotho,SEX_FMLE,27.9
Prevalence of obesity among children and adolescents (5–19 years) (%),Lesotho,SEX_BTSX,4.61
Prevalence of overweight in children under 5 (%),Lesotho,NA,6.9
Prevalence of stunting in children under 5 (%),Lesotho,NA,31.8
Prevalence of wasting in children under 5 (%),Lesotho,NA,2.1
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Lesotho,NA,36.99
Proportion of births attended by skilled health personnel (%),Lesotho,NA,86.6
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Lesotho,NA,16
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Lesotho,NA,40
Proportion of population using a hand-washing facility with soap and water (%),Lesotho,NA,5.57
Proportion of population using safely-managed drinking-water services (%),Lesotho,NA,28.22
Proportion of population using safely-managed sanitation services (%),Lesotho,NA,47.52
Proportion of population with primary reliance on clean fuels and technology (%),Lesotho,NA,41.5
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Lesotho,SEX_FMLE,82.8
Reported number of people requiring interventions against NTDs,Lesotho,NA,387421
Road traffic mortality rate (per 100 000 population),Lesotho,NA,21.6
Suicide mortality rate (per 100 000 population),Lesotho,NA,30.44
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Lesotho,SEX_BTSX,4.54
